Source,Target,Type,Weight
6,101,Directed,1
6,19,Directed,1
6,109,Directed,1
6,48,Directed,1
6,110,Directed,1
6,111,Directed,1
6,112,Directed,1
6,47,Directed,1
6,30,Directed,1
6,31,Directed,1
6,113,Directed,1
6,114,Directed,1
6,38,Directed,1
6,63,Directed,1
6,62,Directed,1
6,80,Directed,1
6,37,Directed,1
6,115,Directed,1
6,29,Directed,1
6,33,Directed,1
6,26,Directed,1
6,34,Directed,1
6,44,Directed,1
6,45,Directed,1
6,73,Directed,1
6,90,Directed,1
6,95,Directed,1
6,89,Directed,1
6,71,Directed,1
6,58,Directed,1
7,9,Directed,1
7,11,Directed,1
7,10,Directed,1
7,24,Directed,1
7,116,Directed,1
7,68,Directed,1
7,53,Directed,1
7,100,Directed,1
7,117,Directed,1
7,118,Directed,1
7,98,Directed,1
7,119,Directed,1
7,55,Directed,1
7,108,Directed,1
7,16,Directed,1
7,105,Directed,1
7,31,Directed,1
7,30,Directed,1
7,104,Directed,1
7,49,Directed,1
7,120,Directed,1
7,121,Directed,1
7,56,Directed,1
7,122,Directed,1
7,123,Directed,1
7,94,Directed,1
7,85,Directed,1
7,124,Directed,1
7,17,Directed,1
7,48,Directed,1
7,21,Directed,1
7,40,Directed,1
7,71,Directed,1
7,96,Directed,1
7,101,Directed,1
7,99,Directed,1
7,125,Directed,1
7,126,Directed,1
7,13,Directed,1
7,127,Directed,1
7,128,Directed,1
7,129,Directed,1
7,130,Directed,1
7,26,Directed,1
7,131,Directed,1
7,132,Directed,1
7,133,Directed,1
7,87,Directed,1
7,88,Directed,1
7,113,Directed,1
7,114,Directed,1
7,29,Directed,1
7,95,Directed,1
7,45,Directed,1
7,109,Directed,1
7,90,Directed,1
7,19,Directed,1
7,111,Directed,1
7,18,Directed,1
7,22,Directed,1
7,20,Directed,1
7,67,Directed,1
7,79,Directed,1
8,9,Directed,1
8,11,Directed,1
8,10,Directed,1
8,24,Directed,1
8,17,Directed,1
8,19,Directed,1
8,13,Directed,1
8,40,Directed,1
8,49,Directed,1
8,14,Directed,1
8,133,Directed,1
8,21,Directed,1
8,134,Directed,1
8,16,Directed,1
8,98,Directed,1
8,135,Directed,1
8,48,Directed,1
8,100,Directed,1
8,35,Directed,1
8,136,Directed,1
8,96,Directed,1
8,108,Directed,1
8,55,Directed,1
8,104,Directed,1
8,37,Directed,1
8,112,Directed,1
8,29,Directed,1
8,89,Directed,1
8,45,Directed,1
8,68,Directed,1
8,56,Directed,1
8,75,Directed,1
8,90,Directed,1
8,33,Directed,1
8,99,Directed,1
8,113,Directed,1
8,114,Directed,1
8,31,Directed,1
8,30,Directed,1
8,107,Directed,1
8,115,Directed,1
8,111,Directed,1
8,47,Directed,1
8,109,Directed,1
8,118,Directed,1
8,95,Directed,1
8,124,Directed,1
8,85,Directed,1
8,101,Directed,1
8,110,Directed,1
8,126,Directed,1
8,36,Directed,1
8,66,Directed,1
8,60,Directed,1
8,34,Directed,1
8,28,Directed,1
8,69,Directed,1
8,62,Directed,1
8,71,Directed,1
8,25,Directed,1
